rank,public_key_short,total_cspr,liquid_cspr,staked_cspr,public_key,cspr_live_url,total_motes,liquid_motes,staked_motes
1,02035b13…c756e5,97276.306791162,177.525893277,97098.780897885,02035b13a1042f6f66f383499136a251a38e9f821897caedc1b3335ddceb91c756e5,https://testnet.cspr.live/account/02035b13a1042f6f66f383499136a251a38e9f821897caedc1b3335ddceb91c756e5,97276306791162,177525893277,97098780897885
2,0202925b…7da529,97212.715667084,113.992608450,97098.723058634,0202925b95ea98f5e8c36b120551f21685aae258cb83eea86c8fd913892c137da529,https://testnet.cspr.live/account/0202925b95ea98f5e8c36b120551f21685aae258cb83eea86c8fd913892c137da529,97212715667084,113992608450,97098723058634
3,0202bd1a…0f74e8,97133.615316396,36.107743871,97097.507572525,0202bd1a6b3b039f899130005993e3490219af4b18c391c6a30aae3400ce2a0f74e8,https://testnet.cspr.live/account/0202bd1a6b3b039f899130005993e3490219af4b18c391c6a30aae3400ce2a0f74e8,97133615316396,36107743871,97097507572525
4,020390c5…4c5002,30591.660321621,30591.660321621,0.000000000,020390c5e65c481a4cf9b9c7dec8b0b4fc0336764b4b0342ec30eee3a14d454c5002,https://testnet.cspr.live/account/020390c5e65c481a4cf9b9c7dec8b0b4fc0336764b4b0342ec30eee3a14d454c5002,30591660321621,30591660321621,0
5,02037872…6a94d3,25000.000000000,25000.000000000,0.000000000,02037872d0552762c49f8fe3583438d4c37030dd6a7e06cd38bb080342ffa26a94d3,https://testnet.cspr.live/account/02037872d0552762c49f8fe3583438d4c37030dd6a7e06cd38bb080342ffa26a94d3,25000000000000,25000000000000,0
6,0202c39c…d94243,25000.000000000,25000.000000000,0.000000000,0202c39c719d8e7ae303d56d8148c48b37b4bfa0f9093f1921963daebc24c9d94243,https://testnet.cspr.live/account/0202c39c719d8e7ae303d56d8148c48b37b4bfa0f9093f1921963daebc24c9d94243,25000000000000,25000000000000,0
7,02029e94…26718d,25000.000000000,25000.000000000,0.000000000,02029e9449ee1fa9d36fcaa5c253cd63c3ddaa69f7524504e4f2221094fc0626718d,https://testnet.cspr.live/account/02029e9449ee1fa9d36fcaa5c253cd63c3ddaa69f7524504e4f2221094fc0626718d,25000000000000,25000000000000,0
8,0203853a…411dd2,25000.000000000,25000.000000000,0.000000000,0203853a3a0cd52fe7771c79f137209209f3d9632002930a92278646f8b687411dd2,https://testnet.cspr.live/account/0203853a3a0cd52fe7771c79f137209209f3d9632002930a92278646f8b687411dd2,25000000000000,25000000000000,0
9,0203e170…9878f6,25000.000000000,25000.000000000,0.000000000,0203e17080675d5d9014cc55b9a6e790e6c06be7f277c639b5d121286a40909878f6,https://testnet.cspr.live/account/0203e17080675d5d9014cc55b9a6e790e6c06be7f277c639b5d121286a40909878f6,25000000000000,25000000000000,0
10,02031982…b9c28d,25000.000000000,25000.000000000,0.000000000,02031982422a31797d0a04aed93989fd229a8dbf1c1211088946660ab34b8cb9c28d,https://testnet.cspr.live/account/02031982422a31797d0a04aed93989fd229a8dbf1c1211088946660ab34b8cb9c28d,25000000000000,25000000000000,0
